Date,Open,High,Low,Close,Volume
10-03-2016,11.20,11.85,11.07,11.75,4
11-03-2016,11.75,11.95,11.75,11.95,179
12-03-2016,11.95,13.45,11.95,12.92,833
13-03-2016,12.92,15.07,12.92,15.07,1295
14-03-2016,15.07,15.07,11.4,12.5,92183
15-03-2016,12.63,13.42,11.98,13.06,39725
16-03-2016,13.06,13.89,12.62,12.88,19240
17-03-2016,12.58,12.61,10.44,10.74,89450
18-03-2016,11.09,11.2,8.34,10.74,157374
19-03-2016,10.97,11.1,9.78,10.31,67547
20-03-2016,10.55,10.88,9.56,10.18,33177
21-03-2016,10.18,12.05,10.14,11.95,38857
22-03-2016,11.53,11.97,11.08,11.37,26285
23-03-2016,11.37,12.43,11.2,12.43,27024
24-03-2016,12.43,12.47,10.67,11.2,50796
25-03-2016,11.32,11.35,10.52,10.67,87423
26-03-2016,10.67,11.2,10.58,11,16125
27-03-2016,10.93,10.98,10.17,10.4,55815
28-03-2016,10.40,11.94,10.4,11.62,77312
29-03-2016,11.78,11.88,11.37,11.79,47572
30-03-2016,11.79,12.3,11.44,11.85,36960
31-03-2016,11.92,12.02,11.29,11.41,32669
01-04-2016,11.41,11.94,11.39,11.62,22197
02-04-2016,11.65,11.77,11.43,11.61,12173
03-04-2016,11.61,11.76,11.4,11.75,18851
04-04-2016,11.60,11.67,10.88,11.15,38742
05-04-2016,11.15,11.15,9.7,10.4,53389
06-04-2016,10.40,10.96,10.2,10.76,40040
07-04-2016,10.76,10.85,9.4,10.12,50740
08-04-2016,10.05,10.34,9.6,9.71,25974
09-04-2016,9.69,10.2,9,9.15,64964
10-04-2016,9.15,9.43,7.52,8.76,171987
11-04-2016,8.56,8.93,8.01,8.68,60277
12-04-2016,8.53,8.54,7.21,7.53,63823
13-04-2016,7.48,8.8,6.86,8.09,142212
14-04-2016,8.08,8.86,8,8.46,36148
15-04-2016,8.39,8.69,8.1,8.32,30478
16-04-2016,8.23,8.68,8.18,8.54,29257
17-04-2016,8.70,10.9,8.61,9.46,96047
18-04-2016,9.30,9.55,8.44,8.97,37877
19-04-2016,8.97,9.38,8.65,8.71,35259
20-04-2016,8.73,9.05,8.35,8.61,167706
21-04-2016,8.61,8.8,8,8.11,45521
22-04-2016,8.23,8.41,7.73,7.97,97367
23-04-2016,7.95,8.8,7.81,8.46,89572
24-04-2016,8.35,8.5,8.01,8.1,52056
25-04-2016,8.05,8.15,7.32,7.54,207064
26-04-2016,7.56,7.6,7.12,7.5,129269
27-04-2016,7.40,7.99,7.31,7.8,90465
28-04-2016,7.73,7.87,7.25,7.33,69398
29-04-2016,7.23,7.72,7.19,7.52,51163
30-04-2016,7.45,9.36,7.45,8.87,267967
01-05-2016,8.74,9,8.35,8.75,71992
02-05-2016,8.83,10.3,8.79,10,295376
03-05-2016,10.01,10.01,9.18,9.34,128321
04-05-2016,9.38,10,9.25,9.46,74704
05-05-2016,9.40,10,9.3,9.79,62437
06-05-2016,9.85,9.98,9.12,9.35,92421
07-05-2016,9.45,9.64,9.2,9.35,31388
08-05-2016,9.41,9.64,9,9.5,80087
09-05-2016,9.51,9.65,9.25,9.32,77287
10-05-2016,9.31,9.47,9.28,9.38,18319
11-05-2016,9.38,9.98,9.3,9.89,110306
12-05-2016,9.92,10.47,9.79,10.04,142191
13-05-2016,10.09,11.11,10.08,10.6,194278
14-05-2016,10.60,10.75,9.71,10.16,121860
15-05-2016,10.25,10.42,9.93,9.97,42732
16-05-2016,10.01,11.47,10,11.09,257208
17-05-2016,11.15,12.6,11.1,12.08,540974
18-05-2016,12.28,14.4,12.21,13.35,420067
19-05-2016,13.40,14.65,13.2,14.58,393145
20-05-2016,14.74,14.89,13.31,13.79,338688
21-05-2016,13.60,14,13.01,14,209034
22-05-2016,14.06,14.51,13.62,14.21,118188
23-05-2016,14.21,14.49,13.32,13.42,170093
24-05-2016,13.38,13.82,12,12.73,437472
25-05-2016,12.84,12.99,11.8,12.49,247583
26-05-2016,12.52,13.07,12.13,12.48,215635
27-05-2016,12.40,12.43,10.53,11.12,645838
28-05-2016,10.99,12.5,10.38,11.98,587073
29-05-2016,11.80,12.89,11.78,12.41,455109
30-05-2016,12.44,12.81,12.3,12.72,122980
31-05-2016,12.78,14.28,12.6,14.01,517983
01-06-2016,14.07,14.3,13.46,13.85,289629
02-06-2016,13.94,14.03,13.61,13.8,155533
03-06-2016,13.82,13.99,13.42,13.84,200806
04-06-2016,13.90,13.9,13.4,13.81,139118
05-06-2016,13.75,13.97,13.69,13.95,54663
06-06-2016,14.00,14.19,13.8,14.03,105546
07-06-2016,13.94,14.7,13.88,14.5,199889
08-06-2016,14.60,14.89,14.3,14.49,257009
09-06-2016,14.51,14.7,14.37,14.45,64978
10-06-2016,14.44,14.46,13.56,13.97,220154
11-06-2016,13.95,14.28,13.81,14.15,109421
12-06-2016,14.30,16.09,14.25,15.8,550466
13-06-2016,15.75,17.91,15.7,17.73,896994
14-06-2016,17.65,19.41,16,18.73,1174079
15-06-2016,18.70,18.75,17.55,18.45,365425
16-06-2016,18.61,21.1,18.44,20.7,1023565
17-06-2016,20.86,21.69,11.51,15.61,4720545
18-06-2016,15.19,15.3,10.13,11.41,3041819
19-06-2016,10.76,13.36,10.55,12.43,1143961
20-06-2016,12.33,12.49,10.51,11.9,1111530
21-06-2016,11.67,12.98,11.2,12.94,644707
22-06-2016,13.75,15.9,12.95,13.25,1829191
23-06-2016,13.26,14,12.5,13.75,521605
24-06-2016,13.76,14.46,13.1,14.29,551436
25-06-2016,14.39,14.84,13.91,14.31,262843
26-06-2016,14.22,14.4,13.53,13.75,213875
27-06-2016,13.71,14.19,13.68,13.96,135034
28-06-2016,13.95,14.07,11.51,12.22,896165
29-06-2016,12.08,13.05,11.57,12.77,427249
30-06-2016,12.64,12.88,12.2,12.5,213185
01-07-2016,12.50,12.58,11.74,12.35,302715
02-07-2016,12.17,12.2,11.95,12.14,86170
03-07-2016,12.06,12.11,11.56,11.78,196777
04-07-2016,11.65,11.85,11.35,11.42,147788
05-07-2016,11.42,11.49,9.35,10.53,1121467
06-07-2016,10.37,11.12,10.22,10.55,327604
07-07-2016,10.58,10.67,9.73,10.14,291456
08-07-2016,10.16,11.65,9.9,11.31,533974
09-07-2016,11.37,11.43,10.4,10.9,431162
10-07-2016,10.83,11.02,10.74,10.95,75849
11-07-2016,10.95,11.09,10.2,10.51,287837
12-07-2016,10.48,10.8,10.4,10.55,143679
13-07-2016,10.55,10.6,10.43,10.47,62846
14-07-2016,10.70,11.79,10.69,11.6,419066
15-07-2016,11.50,12.55,11.37,11.93,600618
16-07-2016,11.95,12.05,11.72,11.72,127925
17-07-2016,11.72,11.74,11.02,11.24,575467
18-07-2016,11.31,11.75,11.01,11.04,252336
19-07-2016,11.09,12.24,11.07,11.75,678517
20-07-2016,11.70,13.04,11.55,12.48,1649729
21-07-2016,12.52,12.75,12.03,12.55,534748
22-07-2016,12.67,15.15,12.53,14.67,1574951
23-07-2016,14.55,14.85,13.9,14.25,638425
24-07-2016,14.33,14.44,12.17,12.65,1649498
25-07-2016,12.86,13.8,12.75,13.8,742809
